Date,Open,High,Low,Close,Volume
2020-12-31,30417.640625,30637.470703125,30344.5,30606.48046875,284470000
2021-01-04,30627.470703125,30674.279296875,29881.8203125,30223.890625,475080000
2021-01-05,30204.25,30504.890625,30141.779296875,30391.599609375,350910000
2021-01-06,30362.779296875,31022.650390625,30313.0703125,30829.400390625,500430000
2021-01-07,30901.1796875,31193.400390625,30897.859375,31041.130859375,427810000
2021-01-08,31069.580078125,31140.669921875,30793.26953125,31097.970703125,381150000
2021-01-11,31015.369140625,31096.98046875,30832.060546875,31008.689453125,356540000
2021-01-12,31015.009765625,31114.560546875,30888.759765625,31068.689453125,362620000
2021-01-13,31084.880859375,31153.369140625,30992.05078125,31060.470703125,413250000
2021-01-14,31085.669921875,31223.779296875,30982.240234375,30991.51953125,427810000
2021-01-15,30926.76953125,30941.98046875,30612.669921875,30814.259765625,433000000
2021-01-19,30887.419921875,31086.619140625,30865.029296875,30930.51953125,386400000
2021-01-20,31017.5390625,31235.98046875,30997.7890625,31188.380859375,384980000
2021-01-21,31198.009765625,31272.220703125,31120.919921875,31176.009765625,418780000
2021-01-22,31141.560546875,31141.560546875,30908.470703125,30996.98046875,436040000
2021-01-25,30989.849609375,30989.849609375,30564.060546875,30960.0,472890000
2021-01-26,30968.55078125,31121.419921875,30921.7109375,30937.0390625,373150000
2021-01-27,30893.779296875,30893.779296875,30206.91015625,30303.169921875,566470000
2021-01-28,30377.189453125,30951.41015625,30377.189453125,30603.359375,465140000
2021-01-29,30553.91015625,30553.91015625,29856.30078125,29982.619140625,536320000
2021-02-01,30054.73046875,30335.91015625,30014.970703125,30211.91015625,347060000
2021-02-02,30276.880859375,30840.5390625,30276.880859375,30687.48046875,333160000
2021-02-03,30689.650390625,30793.41015625,30521.310546875,30723.599609375,305590000
2021-02-04,30737.779296875,31065.9609375,30737.779296875,31055.859375,338330000
2021-02-05,31093.810546875,31252.1796875,31083.220703125,31148.240234375,293550000
2021-02-08,31191.19921875,31386.099609375,31191.19921875,31385.759765625,322250000
2021-02-09,31359.880859375,31439.470703125,31245.859375,31375.830078125,308210000
2021-02-10,31428.01953125,31511.439453125,31221.3203125,31437.80078125,326450000
2021-02-11,31466.490234375,31543.8203125,31244.359375,31430.69921875,280320000
2021-02-12,31420.80078125,31475.310546875,31347.80078125,31458.400390625,263090000
2021-02-16,31472.080078125,31608.630859375,31443.48046875,31522.75,329210000
2021-02-17,31485.609375,31643.69921875,31338.759765625,31613.01953125,343510000
2021-02-18,31558.599609375,31558.599609375,31285.3203125,31493.33984375,325990000
2021-02-19,31504.130859375,31647.529296875,31469.33984375,31494.3203125,353070000
2021-02-22,31381.119140625,31653.48046875,31286.5703125,31521.689453125,387210000
2021-02-23,31501.890625,31653.380859375,31158.759765625,31537.349609375,460410000
2021-02-24,31499.75,32009.640625,31421.2890625,31961.859375,410150000
2021-02-25,31955.939453125,31984.76953125,31293.3203125,31402.009765625,454110000
2021-02-26,31401.2890625,31450.890625,30911.369140625,30932.369140625,532250000
2021-03-01,31065.900390625,31668.33984375,31065.900390625,31535.509765625,385670000
2021-03-02,31535.369140625,31623.26953125,31377.16015625,31391.51953125,337270000
2021-03-03,31352.9609375,31563.310546875,31260.140625,31270.08984375,409660000
2021-03-04,31289.009765625,31461.970703125,30547.529296875,30924.140625,537850000
2021-03-05,31029.1796875,31580.330078125,30766.810546875,31496.30078125,501810000
2021-03-08,31512.150390625,32148.0390625,31512.150390625,31802.439453125,496980000
2021-03-09,31892.349609375,32150.3203125,31822.640625,31832.740234375,458690000
2021-03-10,31906.9609375,32389.5,31906.9609375,32297.01953125,409110000
2021-03-11,32354.5,32661.58984375,32345.69921875,32485.58984375,400020000
2021-03-12,32462.400390625,32793.3203125,32462.400390625,32778.640625,346400000
2021-03-15,32798.83984375,32973.3984375,32629.75,32953.4609375,360080000
2021-03-16,32966.75,32966.75,32778.23046875,32825.94921875,386370000
2021-03-17,32825.51953125,33047.578125,32782.1796875,33015.37109375,391200000
2021-03-18,32928.16015625,33227.78125,32831.25,32862.30078125,418480000
2021-03-19,32858.359375,32858.359375,32505.0703125,32627.970703125,811890000
2021-03-22,32601.8203125,32810.3515625,32512.529296875,32731.19921875,383500000
2021-03-23,32691.5,32753.76953125,32356.279296875,32423.150390625,385840000
2021-03-24,32470.880859375,32787.98828125,32418.150390625,32420.060546875,399390000
2021-03-25,32346.810546875,32672.689453125,32071.41015625,32619.48046875,411990000
2021-03-26,32681.0703125,33098.828125,32681.0703125,33072.87890625,382170000
2021-03-29,33087.55078125,33259.0,32905.12890625,33171.37109375,351610000
2021-03-30,33127.87890625,33170.9296875,32988.921875,33066.9609375,307510000
2021-03-31,33116.0390625,33173.76953125,32980.5703125,32981.55078125,414140000
2021-04-01,33054.578125,33167.171875,32985.3515625,33153.2109375,311880000
2021-04-05,33222.37890625,33617.94921875,33222.37890625,33527.19140625,344270000
2021-04-06,33500.01953125,33544.7890625,33380.4296875,33430.23828125,297940000
2021-04-07,33444.98046875,33521.76171875,33347.9609375,33446.26171875,273440000
2021-04-08,33469.890625,33506.80078125,33342.640625,33503.5703125,304040000
2021-04-09,33526.19140625,33810.87109375,33526.19140625,33800.6015625,316410000
2021-04-12,33775.05859375,33786.19140625,33665.5390625,33745.3984375,327370000
2021-04-13,33721.16015625,33741.640625,33545.83984375,33677.26953125,324480000
2021-04-14,33668.94921875,33911.25,33668.94921875,33730.890625,315330000
2021-04-15,33788.53125,34068.73046875,33788.53125,34035.98828125,319680000
2021-04-16,34058.16015625,34256.75,34058.16015625,34200.671875,343760000
2021-04-19,34182.37890625,34182.37890625,33980.55859375,34077.62890625,312540000
2021-04-20,34034.1796875,34034.1796875,33687.01171875,33821.30078125,350960000
2021-04-21,33808.30078125,34160.33984375,33773.80078125,34137.30859375,290300000
2021-04-22,34109.87890625,34126.5703125,33717.19140625,33815.8984375,344470000
2021-04-23,33804.51953125,34157.5703125,33713.2890625,34043.48828125,346380000
2021-04-26,34044.23046875,34148.94140625,33941.37109375,33981.5703125,279300000
2021-04-27,33932.12890625,34043.98046875,33870.4609375,33984.9296875,289030000
2021-04-28,33860.4609375,33946.6015625,33805.55859375,33820.37890625,335820000
2021-04-29,33855.640625,34087.2109375,33744.28125,34060.359375,408450000
2021-04-30,33988.75,33988.75,33784.9609375,33874.8515625,374890000
2021-05-03,33904.890625,34221.05859375,33904.890625,34113.23046875,289770000
2021-05-04,34080.19921875,34147.78125,33765.6796875,34133.03125,407860000
2021-05-05,34163.98828125,34331.19921875,34039.66015625,34230.33984375,253180000
2021-05-06,34245.109375,34561.2890625,34185.05859375,34548.53125,315430000
2021-05-07,34578.26953125,34811.390625,34464.30859375,34777.76171875,303400000
2021-05-10,34785.26953125,35091.55859375,34741.5703125,34742.8203125,361620000
2021-05-11,34572.73828125,34572.73828125,34075.30859375,34269.16015625,413180000
2021-05-12,34206.3984375,34207.87109375,33555.21875,33587.66015625,381350000
2021-05-13,33624.73828125,34181.76953125,33623.48828125,34021.44921875,350820000
2021-05-14,34050.859375,34454.05078125,34050.859375,34382.12890625,303230000
2021-05-17,34375.2890625,34383.83984375,34176.6484375,34327.7890625,291910000
2021-05-18,34351.1796875,34408.98828125,34044.1015625,34060.66015625,289590000
2021-05-19,33945.80859375,33945.80859375,33473.80078125,33896.0390625,348480000
2021-05-20,33906.30078125,34233.3984375,33872.41015625,34084.1484375,320150000
2021-05-21,34121.91015625,34415.48046875,34121.91015625,34207.83984375,306360000
2021-05-24,34253.87109375,34472.51171875,34253.87109375,34393.98046875,251010000
2021-05-25,34428.66015625,34511.3515625,34266.03125,34312.4609375,285760000
2021-05-26,34336.33984375,34409.58984375,34271.44140625,34323.05078125,258780000
2021-05-27,34432.46875,34608.8203125,34389.23828125,34464.640625,520630000
2021-05-28,34558.5,34631.109375,34520.08984375,34529.44921875,290850000
2021-06-01,34584.19140625,34849.3203125,34542.87109375,34575.30859375,287700000
2021-06-02,34614.62109375,34706.6484375,34545.9609375,34600.37890625,263810000
2021-06-03,34550.30859375,34667.41015625,34334.41015625,34577.0390625,297380000
2021-06-04,34618.69140625,34772.12109375,34618.69140625,34756.390625,270050000
2021-06-07,34766.19921875,34820.91015625,34574.51171875,34630.23828125,259120000
2021-06-08,34645.83984375,34665.37890625,34452.94140625,34599.8203125,289440000
2021-06-09,34626.16015625,34654.671875,34439.37109375,34447.140625,245100000
2021-06-10,34502.51171875,34737.7890625,34447.25,34466.23828125,309310000
2021-06-11,34499.80859375,34618.08984375,34328.6484375,34479.6015625,260840000
2021-06-14,34472.51953125,34472.51953125,34211.5390625,34393.75,295530000
2021-06-15,34397.1015625,34420.37890625,34199.16015625,34299.328125,272430000
2021-06-16,34308.48046875,34333.25,33917.109375,34033.671875,347150000
2021-06-17,34014.37890625,34091.7890625,33626.609375,33823.44921875,354690000
2021-06-18,33622.69921875,33622.69921875,33271.9296875,33290.078125,563920000
2021-06-21,33312.0703125,33908.08984375,33312.0703125,33876.96875,317260000
2021-06-22,33872.55859375,34040.69921875,33751.05859375,33945.578125,284130000
2021-06-23,33948.5390625,34009.3984375,33869.828125,33874.23828125,255280000
2021-06-24,33933.91015625,34233.01953125,33933.91015625,34196.8203125,275870000
2021-06-25,34328.1015625,34501.01953125,34314.80078125,34433.83984375,432550000
2021-06-28,34428.1015625,34449.6484375,34186.12890625,34283.26953125,280280000
2021-06-29,34338.890625,34469.828125,34266.828125,34292.2890625,282360000
2021-06-30,34290.73828125,34553.16015625,34245.48046875,34502.51171875,295560000
2021-07-01,34507.3203125,34640.28125,34498.8515625,34633.53125,268280000
2021-07-02,34642.421875,34821.9296875,34613.48828125,34786.3515625,301860000
2021-07-06,34790.16015625,34814.19921875,34358.421875,34577.37109375,348430000
2021-07-07,34604.171875,34708.78125,34435.58984375,34681.7890625,302700000
2021-07-08,34569.01171875,34569.01171875,34145.58984375,34421.9296875,335690000
2021-07-09,34457.51171875,34893.71875,34457.51171875,34870.16015625,301750000
2021-07-12,34836.75,35014.8984375,34730.1484375,34996.1796875,294800000
2021-07-13,34959.9609375,35018.7890625,34876.890625,34888.7890625,322430000
2021-07-14,34920.828125,35069.1796875,34826.87109375,34933.23046875,344340000
2021-07-15,34924.80859375,34990.41015625,34762.87109375,34987.01953125,320450000
2021-07-16,35007.94140625,35090.01171875,34647.8203125,34687.8515625,322980000
2021-07-19,34528.48046875,34528.48046875,33741.76171875,33962.0390625,440440000
2021-07-20,33981.7890625,34621.7890625,33981.7890625,34511.98828125,387020000
2021-07-21,34556.9609375,34820.23828125,34556.9609375,34798.0,317090000
2021-07-22,34799.6796875,34879.28125,34673.03125,34823.3515625,291610000
2021-07-23,34855.109375,35095.328125,34855.109375,35061.55078125,314040000
2021-07-26,35055.859375,35150.37109375,34950.19140625,35144.30859375,259790000
2021-07-27,35078.8984375,35078.8984375,34878.0703125,35058.51953125,326610000
2021-07-28,35109.94921875,35116.37109375,34876.83984375,34930.9296875,347170000
2021-07-29,34985.98828125,35171.51953125,34985.98828125,35084.53125,222680000
2021-07-30,35013.26171875,35106.30078125,34871.12890625,34935.46875,276410000
2021-08-02,34968.55859375,35192.109375,34808.19921875,34838.16015625,238620000
2021-08-03,34864.1015625,35120.94140625,34714.328125,35116.3984375,259820000
2021-08-04,35047.44140625,35047.44140625,34790.62109375,34792.671875,245300000
2021-08-05,34815.609375,35067.5390625,34815.609375,35064.25,216580000
2021-08-06,35077.44140625,35246.7890625,35077.44140625,35208.51171875,231570000
2021-08-09,35229.671875,35229.671875,35041.23828125,35101.8515625,207850000
2021-08-10,35135.171875,35285.16015625,35091.91015625,35264.671875,255040000
2021-08-11,35300.890625,35501.16015625,35300.890625,35484.96875,232800000
2021-08-12,35481.94140625,35510.76953125,35352.53125,35499.8515625,231600000
2021-08-13,35551.55859375,35610.5703125,35474.78125,35515.37890625,236790000
2021-08-16,35490.828125,35631.19140625,35231.87109375,35625.3984375,292590000
2021-08-17,35500.01171875,35500.01171875,35120.30859375,35343.28125,309410000
