2020/05/26 00:16:27 UTC
Country,Total deaths,Td,Deaths/Mil.
Asia,Lebanon,26,26.380,3.811
Africa,Liberia,26,33.231,5.200
Europe,IsleofMan,24,1627.855,282.357
Asia,Singapore,23,40.398,3.934
Europe,Latvia,22,124.803,11.661
South America,Uruguay,22,69.594,6.346
Australia/Oceania,NewZealand,21,1457.063,4.356
Africa,Guinea,20,23.244,1.527
Africa,Mayotte,20,30.174,73.499
Asia,Cyprus,17,224.883,14.097
North America,Nicaragua,17,2.011,2.559
Asia,Kyrgyzstan,16,29.549,2.456
Africa,Congo,16,29.012,2.891
Asia,Bahrain,14,19.870,8.260
Africa,Djibouti,14,9.983,14.193
Africa,Gabon,14,10.091,6.308
North America,Martinique,14,188.734,37.310
North America,Guadeloupe,14,127.755,34.957
Asia,Uzbekistan,13,36.397,0.387
Africa,Togo,13,19.507,1.583
Africa,EquatorialGuinea,12,13.043,8.583
Asia,Georgia,12,115.785,3.004
South America,Paraguay,11,52.043,1.539
Africa,SaoTomeandPrincipe,11,20.145,50.291
South America,Guyana,11,30.747,13.971
North America,Bahamas,11,118.858,28.050
Europe,Iceland,10,4374.105,29.324
Asia,SriLanka,10,27.688,0.465
North America,CostaRica,10,51.822,1.966
South America,Venezuela,10,6.660,0.348
Africa,Mauritius,10,807.861,7.874
Asia,Jordan,9,39.595,0.886
North America,Jamaica,9,81.247,3.033
North America,Bermuda,9,62.074,144.474
Africa,Mauritania,9,4.133,1.958
Africa,SouthSudan,8,4.747,0.715
Africa,Guinea-Bissau,7,27.906,3.565
Africa,Zambia,7,25.572,0.380
Asia,Taiwan,7,2137.318,0.302
North America,Barbados,7,109.153,24.348
Europe,Malta,6,53.473,13.591
Asia,Myanmar,6,63.207,0.118
Africa,Ethiopia,5,7.813,0.046
Asia,Maldives,4,19.963,7.415
Asia,HongKong,4,514.797,0.533
Asia,Nepal,4,8.112,0.135
Europe,Monaco,4,235.315,102.000
Africa,Malawi,4,13.234,0.198
Asia,Syria,4,8.047,0.226
Africa,Angola,4,14.420,0.114
Africa,Zimbabwe,4,24.666,0.286
Asia,Palestine,3,53.007,0.589
Africa,CaboVerde,3,28.025,5.400
Africa,Libya,3,33.906,0.440
North America,SaintMartin,3,191.645,77.700
Africa,Madagascar,2,9.318,0.074
Africa,Eswatini,2,21.840,1.727
