Date,High,Low,Open,Close,Volume,Adj Close
2006-06-19,1568.8900146484375,1543.8499755859375,1568.3800048828125,1548.93994140625,1681580000,1548.93994140625
2006-06-20,1565.1700439453125,1544.300048828125,1549.949951171875,1548.3199462890625,1572100000,1548.3199462890625
2006-06-21,1585.8800048828125,1548.3199462890625,1550.6600341796875,1573.56005859375,1854850000,1573.56005859375
2006-06-22,1573.6700439453125,1546.1199951171875,1571.1099853515625,1554.489990234375,1644700000,1554.489990234375
2006-06-23,1566.9000244140625,1544.1099853515625,1551.469970703125,1551.050048828125,1614510000,1551.050048828125
2006-06-26,1561.469970703125,1549.1300048828125,1553.47998046875,1556.1700439453125,1392940000,1556.1700439453125
2006-06-27,1559.18994140625,1525.8900146484375,1556.1400146484375,1527.0,1788170000,1527.0
2006-06-28,1538.6500244140625,1520.9300537109375,1531.300048828125,1538.25,1591310000,1538.25
2006-06-29,1585.56005859375,1538.25,1546.010009765625,1585.56005859375,2165390000,1585.56005859375
2006-06-30,1590.8299560546875,1574.3800048828125,1590.27001953125,1575.22998046875,2458840000,1575.22998046875
2006-07-03,1586.43994140625,1575.22998046875,1580.6300048828125,1586.25,788200000,1586.25
2006-07-05,1586.25,1550.5799560546875,1573.3499755859375,1553.949951171875,1586970000,1553.949951171875
2006-07-06,1564.9599609375,1547.280029296875,1556.239990234375,1551.550048828125,1585090000,1551.550048828125
2006-07-07,1553.0899658203125,1529.4000244140625,1543.4599609375,1533.7099609375,1759870000,1533.7099609375
2006-07-10,1543.1199951171875,1513.469970703125,1538.780029296875,1520.9000244140625,1561790000,1520.9000244140625
2006-07-11,1534.969970703125,1508.9100341796875,1516.18994140625,1533.06005859375,1971500000,1533.06005859375
2006-07-12,1533.06005859375,1499.77001953125,1527.43994140625,1501.4599609375,1776520000,1501.4599609375
2006-07-13,1506.530029296875,1478.1300048828125,1490.5400390625,1478.1600341796875,2022040000,1478.1600341796875
2006-07-14,1480.31005859375,1456.3800048828125,1478.5999755859375,1462.1700439453125,1779960000,1462.1700439453125
2006-07-17,1475.2099609375,1459.9000244140625,1462.3900146484375,1468.5,1504880000,1468.5
2006-07-18,1477.800048828125,1446.77001953125,1472.06005859375,1472.3399658203125,1996880000,1472.3399658203125
2006-07-19,1498.3199462890625,1467.300048828125,1467.5799560546875,1490.5999755859375,2304740000,1490.5999755859375
2006-07-20,1497.1400146484375,1466.27001953125,1497.1400146484375,1466.8900146484375,1951450000,1466.8900146484375
2006-07-21,1463.43994140625,1450.239990234375,1457.52001953125,1451.8800048828125,2346890000,1451.8800048828125
2006-07-24,1482.3399658203125,1457.1099853515625,1459.3900146484375,1482.3399658203125,1975870000,1482.3399658203125
2006-07-25,1494.1400146484375,1475.1199951171875,1483.010009765625,1489.52001953125,1913710000,1489.52001953125
2006-07-26,1499.4300537109375,1474.6700439453125,1483.739990234375,1487.8800048828125,2073310000,1487.8800048828125
2006-07-27,1506.75,1475.9100341796875,1497.0,1478.530029296875,2120100000,1478.530029296875
2006-07-28,1511.0,1485.9599609375,1488.06005859375,1510.300048828125,1803290000,1510.300048828125
2006-07-31,1517.8599853515625,1501.780029296875,1506.81005859375,1509.4300537109375,1582270000,1509.4300537109375
2006-08-01,1498.1700439453125,1476.06005859375,1498.1700439453125,1484.93994140625,1663070000,1484.93994140625
2006-08-02,1510.510009765625,1490.4100341796875,1490.6400146484375,1500.47998046875,1755730000,1500.47998046875
2006-08-03,1518.4100341796875,1484.5999755859375,1487.02001953125,1510.5999755859375,1818790000,1510.5999755859375
2006-08-04,1530.0400390625,1490.1600341796875,1522.6500244140625,1503.8399658203125,1832040000,1503.8399658203125
2006-08-07,1501.4300537109375,1487.18994140625,1501.4300537109375,1494.1300048828125,1428170000,1494.1300048828125
2006-08-08,1500.760009765625,1476.47998046875,1498.949951171875,1484.800048828125,1889440000,1484.800048828125
2006-08-09,1517.9000244140625,1482.489990234375,1503.8599853515625,1485.6400146484375,2074060000,1485.6400146484375
2006-08-10,1499.9300537109375,1478.199951171875,1482.1099853515625,1496.280029296875,1730320000,1496.280029296875
2006-08-11,1491.969970703125,1479.68994140625,1491.0999755859375,1486.739990234375,1423530000,1486.739990234375
2006-08-14,1515.6800537109375,1493.739990234375,1500.6500244140625,1494.3299560546875,1480120000,1494.3299560546875
2006-08-15,1534.780029296875,1508.93994140625,1514.8399658203125,1534.4300537109375,1755660000,1534.4300537109375
2006-08-16,1570.06005859375,1539.5899658203125,1546.47998046875,1570.06005859375,2474760000,1570.06005859375
2006-08-17,1584.719970703125,1562.6199951171875,1564.969970703125,1573.5899658203125,1919020000,1573.5899658203125
2006-08-18,1578.3499755859375,1557.8900146484375,1571.699951171875,1576.4599609375,1683790000,1576.4599609375
2006-08-21,1567.5,1556.280029296875,1566.1600341796875,1561.1199951171875,1314000000,1561.1199951171875
2006-08-22,1577.5400390625,1555.97998046875,1560.2099609375,1563.4300537109375,1555940000,1563.4300537109375
2006-08-23,1571.47998046875,1543.8599853515625,1565.989990234375,1550.4100341796875,1457180000,1550.4100341796875
2006-08-24,1558.93994140625,1542.5699462890625,1557.6400146484375,1555.18994140625,1404360000,1555.18994140625
2006-08-25,1570.3399658203125,1548.010009765625,1550.8399658203125,1557.699951171875,1282510000,1557.699951171875
2006-08-28,1574.449951171875,1556.52001953125,1557.2099609375,1570.2900390625,1333860000,1570.2900390625
2006-08-29,1575.449951171875,1552.4000244140625,1569.949951171875,1573.6500244140625,1580990000,1573.6500244140625
