月齢,日時,Ser.No.,Day.No.,場所,通称,Style,開始時刻,終了時刻,開始ー北緯度,開始ー北緯分,開始ー緯度度,開始ー緯度分,終了ー北緯度,終了ー北緯分,終了ー緯度度,終了ー緯度分
0.1,2004/08/16 ,46,1,西表島崎山湾,サキヤマグチ,A,11:34,12:26,24,18.897,123,39.967,,,,
0.1,2004/08/16 ,47,2,西表島落水崎西,ハテルマケージュ,A,,,24,16.693,123,42.134,,,,
0.1,2004/08/16 ,48,3,西表島鹿川湾東,タカバマー,A,16:23,17:18,24,16.830,123,44.928,,,,
0.3,2006/04/28 ,179,1,黒島南東,ケングチ,D,10:06,10:28,24,12.779,124,0.221,24,12.642,124,0.273
0.3,2006/04/28 ,180,2,黒島南東,ケングチ,D,11:28,12:12,24,12.589,124,0.784,24,12.696,124,0.868
0.3,2006/04/28 ,181,3,黒島南東,ケングチ,D,13:55,14:37,24,12.607,124,0.517,24,12.606,124,0.883
0.3,2009/09/19 ,562,1,石垣島白保崎,ミヤラ,D,10:16,11:01,24,20.057,124,14.320,24,20.084,124,14.509
0.3,2009/09/19 ,563,2,石垣島白保崎,ミヤラグチ,D,11:53,12:47,24,20.241,124,13.362,24,20.013,124,12.804
0.3,2009/09/19 ,564,3,石垣島白保崎,ミヤラグチ,D,15:12,15:47,24,20.045,124,12.397,24,19.924,124,12.039
0.6,2006/09/23 ,226,1,鳩間島東,,A,,,24,27.451,123,50.600,,,,
0.6,2006/09/23 ,227,2,鳩間島西,,A,13:44,14:29,24,27.879,123,47.989,,,,
0.6,2007/09/12 ,339,1,石垣島平久保東,ヤッチャグチ,D,09:47,10:29,24,33.249,124,19.780,24,33.090,124,19.677
0.6,2007/09/12 ,340,2,石垣島平久保東,ダルマーグチ,D,11:37,12:42,24,32.752,124,19.251,24,32.306,124,19.039
0.6,2007/09/12 ,341,3,石垣島玉取崎東,タマトリツガイ,D,14:38,15:22,24,29.043,124,17.977,24,28.493,124,17.893
0.6,2007/09/12 ,342,4,石垣島玉取崎東,タマトリツガイ,D,15:40,16:21,24,28.773,124,17.923,24,28.848,124,17.936
0.6,2008/05/06 ,388,1,下地島東,パナリノタバサグァー,D,10:24,11:35,24,12.716,123,56.459,24,12.373,123,56.408
0.6,2008/05/06 ,389,2,黒島南西,,D,13:17,14:10,24,13.036,123,59.918,24,12.791,124,0.062
0.6,2008/05/06 ,390,3,黒島東,ケングチ,D,14:57,15:58,24,13.622,124,2.483,24,13.749,124,2.793
0.7,2008/08/02 ,424,1,石垣島明石東,ニシグルチ,D,10:33,11:20,24,31.250,124,18.900,24,31.042,124,18.640
0.7,2008/08/02 ,425,2,石垣島玉取崎東,タマトリツガイ,D,11:53,12:46,24,29.266,124,18.043,24,28.572,124,17.580
0.7,2008/08/02 ,426,3,石垣島玉取崎東,タマトリツガイ,D,15:05,16:16,24,26.788,124,16.064,24,26.806,124,16.078
0.8,2011/05/04 ,770,1,黒島南東,ケングチ,D,09:51,10:38,24,13.031,124,1.584,24,12.739,124,1.160
0.8,2011/05/04 ,771,2,黒島南東,ケングチ,D,11:16,12:07,24,12.651,124,0.886,24,12.758,124,1.187
0.8,2011/05/04 ,772,3,黒島南西,,D,14:01,14:50,24,12.953,123,59.952,24,12.645,124,0.384
0.8,2011/07/02 ,782,1,西表島野原崎北,ノバルグチ,A,10:11,11:07,24,23.351,123,55.302,,,,
0.8,2011/07/02 ,783,2,西表島野原崎北,ノバルグチ,A,12:47,13:45,24,23.087,123,56.034,,,,
1.1,2004/08/17 ,49,1,竹富島南,カタグァー,A,10:16,11:12,24,15.249,124,5.416,,,,
1.1,2004/08/17 ,50,2,竹富島南,カタグァー,A,12:12,13:11,24,15.180,124,5.485,,,,
1.3,2009/09/20 ,565,1,西表島落水崎,ミジューティ,D,10:40,11:32,24,16.544,123,43.064,24,16.577,123,42.760
1.3,2009/09/20 ,566,2,西表島落水崎,ミジューティ,D,11:56,12:53,24,16.551,123,42.930,24,16.570,123,43.179
1.3,2009/09/20 ,567,3,西表島鹿ノ川湾,タカバマー,D,14:38,15:25,24,17.208,123,44.254,24,16.990,123,44.581
1.6,2006/09/24 ,228,1,西表島落水崎,ミジューティ,A,10:38,11:31,24,16.733,123,45.092,,,,
1.6,2006/09/24 ,229,2,西表島ウビラ石,ハテルマケージュ,D,12:20,13:09,24,16.884,123,41.856,24,16.727,123,41.301
1.6,2006/09/24 ,230,3,西表島ウビラ石,ハテルマケージュ,A,14:31,15:21,24,16.809,123,41.839,,,,
1.6,2007/09/13 ,343,1,竹富島南,ウーロンマガイ,D,09:53,10:51,24,15.079,124,7.597,24,15.199,124,7.916
1.6,2007/09/13 ,344,2,竹富島南,カタグァー,D,11:34,12:33,24,14.691,124,6.104,24,14.739,124,6.162
