2020/05/06 02:08:35 UTC
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,1,0,0
2020-3-17,1,0,0
2020-3-18,1,0,0
2020-3-19,1,0,0
2020-3-20,1,0,0
2020-3-21,1,0,0
2020-3-22,1,0,0
2020-3-23,1,0,0
2020-3-24,1,0,0
2020-3-25,1,0,0
2020-3-26,2,0,0
2020-3-27,3,0,0
2020-3-28,3,0,0
2020-3-29,3,0,0
2020-3-30,3,0,0
2020-3-31,5,0,1
2020-4-1,5,0,1
2020-4-2,5,0,1
2020-4-3,7,0,1
2020-4-4,7,0,1
2020-4-5,7,0,1
2020-4-6,7,0,1
2020-4-7,8,0,1
2020-4-8,12,1,1
2020-4-9,12,1,1
2020-4-10,21,1,1
2020-4-11,21,1,1
2020-4-12,25,1,2
2020-4-13,60,2,2
2020-4-14,60,2,2
2020-4-15,80,5,2
2020-4-16,80,5,2
2020-4-17,116,6,2
2020-4-18,135,7,2
2020-4-19,164,7,3
2020-4-20,237,8,4
2020-4-21,286,8,4
2020-4-22,286,8,4
2020-4-23,328,16,8
2020-4-24,328,16,8
2020-4-25,390,18,8
2020-4-26,436,23,10
2020-4-27,480,26,10
2020-4-28,528,28,19
2020-4-29,582,28,20
2020-4-30,601,28,31
2020-5-1,601,28,31
2020-5-2,671,31,34
2020-5-3,722,32,44
2020-5-4,756,35,61
