2020/05/06 02:08:35 UTC
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,1,0,0
2020-3-17,1,0,0
2020-3-18,3,0,0
2020-3-19,6,0,0
2020-3-20,6,0,0
2020-3-21,6,0,0
2020-3-22,12,0,0
2020-3-23,12,0,0
2020-3-24,12,0,0
2020-3-25,12,0,0
2020-3-26,13,0,0
2020-3-27,13,0,1
2020-3-28,14,0,1
2020-3-29,14,0,1
2020-3-30,19,0,1
2020-3-31,19,1,1
2020-4-1,20,1,1
2020-4-2,20,1,2
2020-4-3,20,1,3
2020-4-4,20,1,3
2020-4-5,22,1,3
2020-4-6,24,1,3
2020-4-7,24,1,5
2020-4-8,25,1,5
2020-4-9,25,1,5
2020-4-10,32,3,5
2020-4-11,32,3,5
2020-4-12,32,3,5
2020-4-13,49,3,7
2020-4-14,53,3,7
2020-4-15,88,4,11
2020-4-16,94,4,11
2020-4-17,147,5,11
2020-4-18,147,5,11
2020-4-19,170,7,11
2020-4-20,254,10,11
2020-4-21,254,10,11
2020-4-22,284,10,11
2020-4-23,284,10,11
2020-4-24,299,10,48
2020-4-25,299,10,48
2020-4-26,299,10,48
2020-4-27,299,10,48
2020-4-28,299,10,48
2020-4-29,480,16,167
2020-4-30,480,16,167
2020-5-1,480,16,167
2020-5-2,480,16,167
2020-5-3,480,16,167
2020-5-4,480,16,167
