2020/05/06 02:08:35 UTC
2020-1-22,0,0,0
2020-1-23,0,0,0
2020-1-24,0,0,0
2020-1-25,0,0,0
2020-1-26,0,0,0
2020-1-27,0,0,0
2020-1-28,0,0,0
2020-1-29,0,0,0
2020-1-30,0,0,0
2020-1-31,0,0,0
2020-2-1,0,0,0
2020-2-2,0,0,0
2020-2-3,0,0,0
2020-2-4,0,0,0
2020-2-5,0,0,0
2020-2-6,0,0,0
2020-2-7,0,0,0
2020-2-8,0,0,0
2020-2-9,0,0,0
2020-2-10,0,0,0
2020-2-11,0,0,0
2020-2-12,0,0,0
2020-2-13,0,0,0
2020-2-14,0,0,0
2020-2-15,0,0,0
2020-2-16,0,0,0
2020-2-17,0,0,0
2020-2-18,0,0,0
2020-2-19,0,0,0
2020-2-20,0,0,0
2020-2-21,0,0,0
2020-2-22,0,0,0
2020-2-23,0,0,0
2020-2-24,0,0,0
2020-2-25,0,0,0
2020-2-26,0,0,0
2020-2-27,0,0,0
2020-2-28,0,0,0
2020-2-29,0,0,0
2020-3-1,0,0,0
2020-3-2,0,0,0
2020-3-3,0,0,0
2020-3-4,0,0,0
2020-3-5,0,0,0
2020-3-6,0,0,0
2020-3-7,0,0,0
2020-3-8,0,0,0
2020-3-9,0,0,0
2020-3-10,0,0,0
2020-3-11,0,0,0
2020-3-12,0,0,0
2020-3-13,0,0,0
2020-3-14,0,0,0
2020-3-15,0,0,0
2020-3-16,1,0,0
2020-3-17,1,0,0
2020-3-18,1,0,0
2020-3-19,3,0,0
2020-3-20,3,0,0
2020-3-21,4,0,0
2020-3-22,4,0,0
2020-3-23,4,0,0
2020-3-24,5,0,1
2020-3-25,5,0,1
2020-3-26,9,0,1
2020-3-27,10,0,1
2020-3-28,10,0,1
2020-3-29,11,0,1
2020-3-30,14,0,1
2020-3-31,14,0,1
2020-4-1,21,1,1
2020-4-2,24,1,1
2020-4-3,24,1,1
2020-4-4,28,4,0
2020-4-5,28,4,0
2020-4-6,29,5,4
2020-4-7,33,6,5
2020-4-8,40,7,5
2020-4-9,41,8,5
2020-4-10,42,8,5
2020-4-11,46,8,5
2020-4-12,46,8,5
2020-4-13,47,8,6
2020-4-14,49,8,6
2020-4-15,49,8,6
2020-4-16,53,8,6
2020-4-17,54,9,6
2020-4-18,55,9,10
2020-4-19,55,9,10
2020-4-20,60,9,11
2020-4-21,65,9,12
2020-4-22,65,9,12
2020-4-23,72,11,14
2020-4-24,73,11,15
2020-4-25,78,11,15
2020-4-26,80,11,22
2020-4-27,80,11,22
2020-4-28,80,11,23
2020-4-29,80,11,23
2020-4-30,81,11,25
2020-5-1,81,11,24
2020-5-2,83,11,24
2020-5-3,83,11,24
2020-5-4,83,11,25
