name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,255,86,158.0,11.0,,,
Aomori,青森県,22,19,3.0,0.0,,,
Iwate,岩手県,0,0,0.0,0.0,,,
Miyagi,宮城県,46,45,1.0,0.0,,,
Akita,秋田県,13,8,5.0,0.0,,,
Yamagata,山形県,32,32,0.0,0.0,,,
Fukushima,福島県,37,34,3.0,0.0,,,
Ibaraki,茨城県,91,80,8.0,3.0,,,
Tochigi,栃木県,32,27,5.0,0.0,,,
Gunma,群馬県,79,72,5.0,2.0,,,
Saitama,埼玉県,345,315,25.0,5.0,,,
Chiba,千葉県,411,369,38.0,4.0,,,
Tokyo,東京都,1914,1838,57.0,19.0,,,
Kanagawa,神奈川県,465,415,44.0,6.0,,,
Niigata,新潟県,41,17,24.0,0.0,,,
Toyama,富山県,23,23,0.0,0.0,,,
Ishikawa,石川県,104,99,5.0,0.0,,,
Fukui,福井県,86,78,6.0,2.0,,,
Yamanashi,山梨県,32,30,2.0,0.0,,,
Nagano,長野県,28,25,3.0,0.0,,,
Gifu,岐阜県,91,85,5.0,1.0,,,
Shizuoka,静岡県,39,36,3.0,0.0,,,
Aichi,愛知県,340,255,63.0,22.0,,,
Mie,三重県,17,12,5.0,0.0,,,
Shiga,滋賀県,38,35,3.0,0.0,,,
Kyoto,京都府,181,147,33.0,1.0,,,
Osaka,大阪府,767,640,121.0,6.0,,,
Hyogo,兵庫県,358,286,59.0,13.0,,,
Nara,奈良県,39,31,8.0,0.0,,,
Wakayama,和歌山県,33,15,17.0,1.0,,,
Tottori,鳥取県,1,1,0.0,0.0,,,
Shimane,島根県,6,6,0.0,0.0,,,
Okayama,岡山県,16,15,1.0,0.0,,,
Hiroshima,広島県,31,28,3.0,0.0,,,
Yamaguchi,山口県,19,16,3.0,0.0,,,
Tokushima,徳島県,3,0,3.0,0.0,,,
Kagawa,香川県,4,3,1.0,0.0,,,
Ehime,愛媛県,30,25,4.0,1.0,,,
Kochi,高知県,54,41,13.0,0.0,,,
Fukuoka,福岡県,332,325,7.0,0.0,,,
Saga,佐賀県,12,11,1.0,0.0,,,
Nagasaki,長崎県,14,12,2.0,0.0,,,
Kumamoto,熊本県,23,18,4.0,1.0,,,
Oita,大分県,42,32,10.0,0.0,,,
Miyazaki,宮崎県,17,14,3.0,0.0,,,
Kagoshima,鹿児島県,4,4,0.0,0.0,,,
Okinawa,沖縄県,49,46,3.0,0.0,,,
Zenkoku,全国,6616,5751,767.0,98.0,,,
