name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,1081,212,783.0,86.0,11,0.0,13628.0
Aomori,青森県,27,1,25.0,1.0,0,0.0,850.0
Iwate,岩手県,0,0,0.0,0.0,0,0.0,662.0
Miyagi,宮城県,88,0,87.0,1.0,0,0.0,2923.0
Akita,秋田県,16,0,16.0,0.0,0,0.0,933.0
Yamagata,山形県,69,3,66.0,0.0,1,0.0,2656.0
Fukushima,福島県,81,6,75.0,0.0,0,0.0,4431.0
Ibaraki,茨城県,168,7,151.0,10.0,0,0.0,4628.0
Tochigi,栃木県,65,16,49.0,0.0,2,0.0,3843.0
Gunma,群馬県,149,12,118.0,19.0,1,0.0,3632.0
Saitama,埼玉県,1003,65,890.0,48.0,5,0.0,20686.0
Chiba,千葉県,907,57,805.0,45.0,4,0.0,14547.0
Tokyo,東京都,5231,419,4508.0,304.0,31,0.0,15005.0
Kanagawa,神奈川県,1359,197,1080.0,82.0,26,0.0,9446.0
Niigata,新潟県,83,5,77.0,0.0,0,1.0,4174.0
Toyama,富山県,227,18,187.0,22.0,0,0.0,3144.0
Ishikawa,石川県,298,54,219.0,25.0,3,0.0,2713.0
Fukui,福井県,122,5,109.0,8.0,1,0.0,2619.0
Yamanashi,山梨県,64,4,59.0,1.0,0,0.0,3877.0
Nagano,長野県,76,7,69.0,,1,0.0,2701.0
Gifu,岐阜県,150,2,141.0,7.0,1,0.0,3600.0
Shizuoka,静岡県,76,3,72.0,1.0,0,0.0,3517.0
Aichi,愛知県,507,15,455.0,34.0,0,3.0,9970.0
Mie,三重県,45,3,41.0,1.0,0,0.0,2495.0
Shiga,滋賀県,100,8,91.0,1.0,1,0.0,1852.0
Kyoto,京都府,358,18,323.0,17.0,1,0.0,7933.0
Osaka,大阪府,1782,133,1552.0,83.0,17,14.0,30951.0
Hyogo,兵庫県,699,31,626.0,42.0,5,0.0,11067.0
Nara,奈良県,92,2,88.0,2.0,0,0.0,2545.0
Wakayama,和歌山県,63,3,57.0,3.0,0,0.0,3684.0
Tottori,鳥取県,3,0,3.0,0.0,0,0.0,1336.0
Shimane,島根県,24,1,22.0,0.0,0,1.0,1121.0
Okayama,岡山県,25,0,25.0,,-,0.0,1698.0
Hiroshima,広島県,167,13,151.0,3.0,0,0.0,6907.0
Yamaguchi,山口県,37,2,35.0,0.0,1,0.0,1696.0
Tokushima,徳島県,5,0,4.0,1.0,0,0.0,739.0
Kagawa,香川県,28,0,28.0,0.0,0,0.0,2178.0
Ehime,愛媛県,82,28,50.0,4.0,1,0.0,2074.0
Kochi,高知県,74,1,70.0,3.0,0,0.0,1785.0
Fukuoka,福岡県,729,84,619.0,26.0,4,0.0,12444.0
Saga,佐賀県,47,8,37.0,0.0,0,2.0,1410.0
Nagasaki,長崎県,17,0,16.0,1.0,0,0.0,2754.0
Kumamoto,熊本県,48,3,42.0,3.0,0,0.0,3911.0
Oita,大分県,60,1,58.0,1.0,0,0.0,3980.0
Miyazaki,宮崎県,17,0,17.0,0.0,0,0.0,1368.0
Kagoshima,鹿児島県,10,0,10.0,0.0,0,0.0,1859.0
Okinawa,沖縄県,142,3,137.0,6.0,2,0.0,2852.0
Zenkoku,全国,16501,1450,14143.0,891.0,,,
