name,name_jp,npatients,ncurrentpatients,nexits,ndeaths,nheavycurrentpatients,nunknowns,ninspections
Hokkaido,北海道,336,159,163.0,14.0,,,
Aomori,青森県,22,17,5.0,0.0,,,
Iwate,岩手県,0,0,0.0,0.0,,,
Miyagi,宮城県,75,67,8.0,0.0,,,
Akita,秋田県,16,11,5.0,0.0,,,
Yamagata,山形県,50,50,0.0,0.0,,,
Fukushima,福島県,49,46,3.0,0.0,,,
Ibaraki,茨城県,123,108,10.0,5.0,,,
Tochigi,栃木県,42,34,8.0,0.0,,,
Gunma,群馬県,109,100,5.0,4.0,,,
Saitama,埼玉県,535,494,32.0,9.0,,,
Chiba,千葉県,539,482,51.0,6.0,,,
Tokyo,東京都,2606,2528,59.0,19.0,,,
Kanagawa,神奈川県,673,602,55.0,16.0,,,
Niigata,新潟県,47,18,29.0,0.0,,,
Toyama,富山県,65,63,2.0,0.0,,,
Ishikawa,石川県,146,137,5.0,4.0,,,
Fukui,福井県,103,93,8.0,2.0,,,
Yamanashi,山梨県,43,34,9.0,0.0,,,
Nagano,長野県,45,41,4.0,0.0,,,
Gifu,岐阜県,132,115,16.0,1.0,,,
Shizuoka,静岡県,48,43,5.0,0.0,,,
Aichi,愛知県,364,274,66.0,24.0,,,
Mie,三重県,26,14,11.0,1.0,,,
Shiga,滋賀県,57,48,8.0,1.0,,,
Kyoto,京都府,225,183,39.0,3.0,,,
Osaka,大阪府,1021,838,175.0,8.0,,,
Hyogo,兵庫県,453,373,63.0,17.0,,,
Nara,奈良県,54,44,9.0,1.0,,,
Wakayama,和歌山県,38,18,19.0,1.0,,,
Tottori,鳥取県,1,1,0.0,0.0,,,
Shimane,島根県,14,14,0.0,0.0,,,
Okayama,岡山県,18,17,1.0,0.0,,,
Hiroshima,広島県,118,115,3.0,0.0,,,
Yamaguchi,山口県,29,24,5.0,0.0,,,
Tokushima,徳島県,3,0,3.0,0.0,,,
Kagawa,香川県,21,20,1.0,0.0,,,
Ehime,愛媛県,41,35,4.0,2.0,,,
Kochi,高知県,62,43,18.0,1.0,,,
Fukuoka,福岡県,459,401,52.0,6.0,,,
Saga,佐賀県,15,14,1.0,0.0,,,
Nagasaki,長崎県,16,14,2.0,0.0,,,
Kumamoto,熊本県,31,25,5.0,1.0,,,
Oita,大分県,50,32,17.0,1.0,,,
Miyazaki,宮崎県,17,13,4.0,0.0,,,
Kagoshima,鹿児島県,4,3,1.0,0.0,,,
Okinawa,沖縄県,86,79,6.0,1.0,,,
Zenkoku,全国,9027,7884,995.0,148.0,,,
