Date,Td,R0,Cases(Tot.),Cases(7Ave.),Cases(Day),Cases(7Ave.Day),Deaths(Tot.),Death(7Ave.),Death(Day),Death(7Ave.Day),Death/Mil.pop(7Ave.Day)
2020/01/27,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/28,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/29,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/30,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/01/31,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/01,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/02,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/03,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/04,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/05,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/06,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/07,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/08,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/09,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/10,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/11,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/12,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/13,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/14,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/15,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/16,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/17,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/18,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/19,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/20,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/21,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/22,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/23,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/24,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/25,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/26,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/27,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/28,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/02/29,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/01,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/02,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/03,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/04,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/05,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/06,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/07,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/08,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/09,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/10,NG,NG,0,0.00,0,0.00,0,0.00,0,0.00,0.0
2020/03/11,2.28,8.40,0,0.29,0,0.29,0,0.00,0,0.00,0.0
2020/03/12,3.22,4.51,0,0.57,0,0.29,0,0.00,0,0.00,0.0
2020/03/13,4.04,3.32,0,0.86,0,0.29,0,0.00,0,0.00,0.0
2020/03/14,4.25,3.13,2,1.14,2,0.29,0,0.00,0,0.00,0.0
2020/03/15,4.42,3.00,2,1.43,0,0.29,0,0.00,0,0.00,0.0
2020/03/16,4.91,2.69,2,1.86,0,0.43,0,0.00,0,0.00,0.0
2020/03/17,5.31,2.49,2,2.29,0,0.43,0,0.00,0,0.00,0.0
