date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,2,0.00,,,,,,,,,,,
2020-03-19,2,0.00,,0.00,,,,0.00,,,,,
2020-03-20,2,0.00,,0.00,,,,0.00,,,,,
2020-03-21,2,0.00,,0.00,,,,0.00,,,,,
2020-03-22,2,0.00,,0.00,,,,0.00,,,,,
2020-03-23,2,0.00,,0.00,,,,0.00,,,,,
2020-03-24,2,0.00,,0.00,,,,0.00,,,,,
2020-03-25,2,0.00,2.00,0.00,,,0.00,0.00,,,,,0.00
2020-03-26,2,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,2,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,2,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-29,2,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-30,2,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-03-31,4,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,6,0.00,2.29,2.00,0.29,0.02,0.00,0.00,0.00,0.00,,,0.00
2020-04-02,8,0.00,2.86,2.00,0.57,0.03,0.00,0.00,0.00,0.00,36.34,,0.00
2020-04-03,9,0.00,3.71,1.00,0.86,0.05,0.00,0.00,0.00,0.00,13.60,,0.00
2020-04-04,14,0.00,4.71,5.00,1.00,0.05,0.00,0.00,0.00,0.00,7.84,,0.00
2020-04-05,16,0.00,6.43,2.00,1.71,0.09,0.00,0.00,0.00,0.00,5.66,,0.00
2020-04-06,16,0.00,8.43,0.00,2.00,0.11,0.00,0.00,0.00,0.00,4.16,,0.00
2020-04-07,24,0.00,10.43,8.00,2.00,0.11,0.00,0.00,0.00,0.00,3.37,,0.00
2020-04-08,29,0.00,13.29,5.00,2.86,0.16,0.00,0.00,0.00,0.00,3.20,4.01,0.00
2020-04-09,33,0.00,16.57,4.00,3.29,0.18,0.00,0.00,0.00,0.00,3.16,3.16,0.00
2020-04-10,36,0.00,20.14,3.00,3.57,0.20,0.00,0.00,0.00,0.00,3.24,2.61,0.00
2020-04-11,37,0.00,24.00,1.00,3.86,0.21,0.00,0.00,0.00,0.00,3.34,2.48,0.00
2020-04-12,38,0.00,27.29,1.00,3.29,0.18,0.00,0.00,0.00,0.00,3.68,1.78,0.00
2020-04-13,38,0.00,30.43,0.00,3.14,0.17,0.00,0.00,0.00,0.00,4.13,1.43,0.00
2020-04-14,39,0.00,33.57,1.00,3.14,0.17,0.00,0.00,0.00,0.00,4.53,1.38,0.00
2020-04-15,40,0.00,35.71,1.00,2.14,0.12,0.00,0.00,0.00,0.00,5.23,1.07,0.00
2020-04-16,49,0.00,37.29,9.00,1.57,0.09,0.00,0.00,0.00,0.00,6.32,0.74,0.00
2020-04-17,52,0.00,39.57,3.00,2.29,0.12,0.00,0.00,0.00,0.00,7.88,0.56,0.00
2020-04-18,60,0.00,41.86,8.00,2.29,0.12,0.00,0.00,0.00,0.00,9.70,0.69,0.00
2020-04-19,62,0.00,45.14,2.00,3.29,0.18,0.00,0.00,0.00,0.00,11.34,0.77,0.00
2020-04-20,64,0.00,48.57,2.00,3.43,0.19,0.00,0.00,0.00,0.00,12.30,1.03,0.00
2020-04-21,64,0.00,52.29,0.00,3.71,0.20,0.00,0.00,0.00,0.00,13.14,1.06,0.00
2020-04-22,65,0.00,55.86,1.00,3.57,0.20,0.00,0.00,0.00,0.00,12.73,1.48,0.00
2020-04-23,65,0.00,59.43,0.00,3.57,0.20,0.00,0.00,0.00,0.00,12.00,1.80,0.00
2020-04-24,66,0.00,61.71,1.00,2.29,0.12,0.00,0.00,0.00,0.00,11.93,1.38,0.00
2020-04-25,68,0.00,63.71,2.00,2.00,0.11,0.00,0.00,0.00,0.00,12.50,1.00,0.00
2020-04-26,69,0.00,64.86,1.00,1.14,0.06,0.00,0.00,0.00,0.00,14.08,0.70,0.00
2020-04-27,69,0.00,65.86,0.00,1.00,0.05,0.00,0.00,0.00,0.00,16.78,0.46,0.00
2020-04-28,70,0.00,66.57,1.00,0.71,0.04,0.00,0.00,0.00,0.00,21.03,0.39,0.00
2020-04-29,72,0.00,67.43,2.00,0.86,0.05,0.00,0.00,0.00,0.00,27.65,0.32,0.00
2020-04-30,73,0.00,68.43,1.00,1.00,0.05,0.00,0.00,0.00,0.00,38.42,0.36,0.00
2020-05-01,74,0.00,69.57,1.00,1.14,0.06,0.00,0.00,0.00,0.00,46.98,0.55,0.00
2020-05-02,75,0.00,70.71,1.00,1.14,0.06,0.00,0.00,0.00,0.00,55.17,0.67,0.00
2020-05-03,78,0.00,71.71,3.00,1.00,0.05,0.00,0.00,0.00,0.00,56.12,1.00,0.00
2020-05-04,78,0.00,73.00,0.00,1.29,0.07,0.00,0.00,0.00,0.00,56.95,1.00,0.00
2020-05-05,79,0.00,74.29,1.00,1.29,0.07,0.00,0.00,0.00,0.00,52.63,1.52,0.00
2020-05-06,79,0.00,75.57,0.00,1.29,0.07,0.00,0.00,0.00,0.00,50.10,1.34,0.00
2020-05-07,79,0.00,76.57,0.00,1.00,0.05,0.00,0.00,0.00,0.00,48.87,1.20,0.00
2020-05-08,81,0.00,77.43,2.00,0.86,0.05,0.00,0.00,0.00,0.00,50.61,0.91,0.00
2020-05-09,81,0.00,78.43,0.00,1.00,0.05,0.00,0.00,0.00,0.00,53.49,0.81,0.00
2020-05-10,81,0.00,79.29,0.00,0.86,0.05,0.00,0.00,0.00,0.00,54.21,1.00,0.00
2020-05-11,81,0.00,79.71,0.00,0.43,0.02,0.00,0.00,0.00,0.00,58.74,0.75,0.00
2020-05-12,81,0.00,80.14,0.00,0.43,0.02,0.00,0.00,0.00,0.00,68.79,0.46,0.00
2020-05-13,81,0.00,80.43,0.00,0.29,0.02,0.00,0.00,0.00,0.00,82.61,0.46,0.00
