date,npatients,ndeaths,Cases Total(Ave7),Cases Day,Cases Day(Ave7),Cases /100000Pop.,Deaths Total(Ave7),Deaths Day,Deaths Day(Ave7),Deaths /100000Pop.,Td7,Rt,CFR(%)
2020-03-18,17,0.00,,,,,,,,,,,
2020-03-19,17,0.00,,0.00,,,,0.00,,,,,
2020-03-20,18,0.00,,1.00,,,,0.00,,,,,
2020-03-21,19,0.00,,1.00,,,,0.00,,,,,
2020-03-22,20,0.00,,1.00,,,,0.00,,,,,
2020-03-23,21,0.00,,1.00,,,,0.00,,,,,
2020-03-24,23,0.00,,2.00,,,,0.00,,,,,
2020-03-25,27,0.00,19.29,4.00,,,0.00,0.00,,,,,0.00
2020-03-26,29,0.00,20.71,2.00,1.43,0.06,0.00,0.00,0.00,0.00,,,0.00
2020-03-27,31,0.00,22.43,2.00,1.71,0.07,0.00,0.00,0.00,0.00,,,0.00
2020-03-28,37,0.00,24.29,6.00,1.86,0.07,0.00,0.00,0.00,0.00,,,0.00
2020-03-29,46,0.00,26.86,9.00,2.57,0.10,0.00,0.00,0.00,0.00,,,0.00
2020-03-30,54,0.00,30.57,8.00,3.71,0.14,0.00,0.00,0.00,0.00,,,0.00
2020-03-31,68,0.00,35.29,14.00,4.71,0.18,0.00,0.00,0.00,0.00,,,0.00
2020-04-01,71,0.00,41.71,3.00,6.43,0.25,0.00,0.00,0.00,0.00,8.03,,0.00
2020-04-02,79,0.00,48.00,8.00,6.29,0.24,0.00,0.00,0.00,0.00,6.93,2.93,0.00
2020-04-03,91,0.00,55.14,12.00,7.14,0.28,0.00,0.00,0.00,0.00,6.38,2.53,0.00
2020-04-04,105,0.00,63.71,14.00,8.57,0.33,0.00,0.00,0.00,0.00,5.92,2.62,0.00
2020-04-05,111,0.00,73.43,6.00,9.71,0.38,0.00,0.00,0.00,0.00,5.62,2.36,0.00
2020-04-06,119,0.00,82.71,8.00,9.29,0.36,0.00,0.00,0.00,0.00,5.54,1.99,0.00
2020-04-07,139,0.00,92.00,20.00,9.29,0.36,0.00,0.00,0.00,0.00,5.70,1.62,0.00
2020-04-08,149,0.00,102.14,10.00,10.14,0.39,0.00,0.00,0.00,0.00,6.13,1.30,0.00
2020-04-09,159,1.00,113.29,10.00,11.14,0.43,0.00,1.00,0.00,0.00,6.43,1.41,0.00
2020-04-10,168,1.00,124.71,9.00,11.43,0.44,0.14,0.00,0.14,0.01,6.74,1.37,0.11
2020-04-11,181,1.00,135.71,13.00,11.00,0.43,0.29,0.00,0.14,0.01,7.22,1.23,0.21
2020-04-12,193,3.00,146.57,12.00,10.86,0.42,0.43,2.00,0.14,0.01,7.90,1.09,0.29
2020-04-13,205,3.00,158.29,12.00,11.71,0.46,0.86,0.00,0.43,0.02,8.48,1.12,0.54
2020-04-14,210,3.00,170.57,5.00,12.29,0.48,1.29,0.00,0.43,0.02,8.94,1.18,0.75
2020-04-15,215,3.00,180.71,5.00,10.14,0.39,1.71,0.00,0.43,0.02,9.46,1.15,0.95
2020-04-16,225,3.00,190.14,10.00,9.43,0.37,2.14,0.00,0.43,0.02,10.39,0.94,1.13
2020-04-17,235,3.00,199.57,10.00,9.43,0.37,2.43,0.00,0.29,0.01,11.50,0.87,1.22
2020-04-18,242,3.00,209.14,7.00,9.57,0.37,2.71,0.00,0.29,0.01,12.58,0.90,1.30
2020-04-19,251,3.00,217.86,9.00,8.71,0.34,3.00,0.00,0.29,0.01,13.65,0.91,1.38
2020-04-20,259,5.00,226.14,8.00,8.29,0.32,3.00,2.00,0.00,0.00,15.19,0.81,1.33
2020-04-21,264,6.00,233.86,5.00,7.71,0.30,3.29,1.00,0.29,0.01,17.21,0.75,1.41
2020-04-22,275,7.00,241.57,11.00,7.71,0.30,3.71,1.00,0.43,0.02,18.82,0.82,1.54
2020-04-23,282,7.00,250.14,7.00,8.57,0.33,4.29,0.00,0.57,0.02,20.27,0.87,1.71
2020-04-24,286,7.00,258.29,4.00,8.14,0.32,4.86,0.00,0.57,0.02,21.48,0.93,1.88
2020-04-25,290,7.00,265.57,4.00,7.29,0.28,5.43,0.00,0.57,0.02,22.99,0.89,2.04
2020-04-26,294,7.00,272.43,4.00,6.86,0.27,6.00,0.00,0.57,0.02,24.50,0.88,2.20
2020-04-27,309,8.00,278.57,15.00,6.14,0.24,6.57,1.00,0.57,0.02,26.06,0.87,2.36
2020-04-28,313,8.00,285.71,4.00,7.14,0.28,7.00,0.00,0.43,0.02,27.73,0.85,2.45
2020-04-29,316,9.00,292.71,3.00,7.00,0.27,7.29,1.00,0.29,0.01,28.91,0.95,2.49
2020-04-30,319,9.00,298.57,3.00,5.86,0.23,7.57,0.00,0.29,0.01,30.87,0.87,2.54
2020-05-01,323,10.00,303.86,4.00,5.29,0.21,7.86,1.00,0.29,0.01,33.48,0.79,2.59
2020-05-02,328,11.00,309.14,5.00,5.29,0.21,8.29,1.00,0.43,0.02,36.03,0.80,2.68
2020-05-03,331,11.00,314.57,3.00,5.43,0.21,8.86,0.00,0.57,0.02,38.38,0.83,2.82
2020-05-04,334,11.00,319.86,3.00,5.29,0.21,9.43,0.00,0.57,0.02,39.92,0.92,2.95
2020-05-05,338,12.00,323.43,4.00,3.57,0.14,9.86,1.00,0.43,0.02,42.98,0.81,3.05
2020-05-06,341,12.00,327.00,3.00,3.57,0.14,10.43,0.00,0.57,0.02,48.63,0.62,3.19
2020-05-07,347,12.00,330.57,6.00,3.57,0.14,10.86,0.00,0.43,0.02,53.35,0.70,3.28
2020-05-08,347,13.00,334.57,0.00,4.00,0.16,11.29,1.00,0.43,0.02,57.58,0.76,3.37
2020-05-09,347,13.00,338.00,0.00,3.43,0.13,11.71,0.00,0.43,0.02,61.38,0.82,3.47
2020-05-10,347,13.00,340.71,0.00,2.71,0.11,12.00,0.00,0.29,0.01,67.54,0.72,3.52
2020-05-11,352,13.00,343.00,5.00,2.29,0.09,12.29,0.00,0.29,0.01,76.81,0.62,3.58
2020-05-12,352,13.00,345.57,0.00,2.57,0.10,12.57,0.00,0.29,0.01,82.58,0.73,3.64
2020-05-13,356,13.00,347.57,4.00,2.00,0.08,12.71,0.00,0.14,0.01,87.84,0.79,3.66
2020-05-14,357,13.00,349.71,1.00,2.14,0.08,12.86,0.00,0.14,0.01,96.76,0.66,3.68
2020-05-15,358,13.00,351.14,1.00,1.43,0.06,13.00,0.00,0.14,0.01,109.61,0.64,3.70
2020-05-16,358,13.00,352.71,0.00,1.57,0.06,13.00,0.00,0.00,0.00,127.19,0.54,3.69
2020-05-17,358,13.00,354.29,0.00,1.57,0.06,13.00,0.00,0.00,0.00,140.18,0.68,3.67
2020-05-18,358,14.00,355.86,0.00,1.57,0.06,13.00,1.00,0.00,0.00,149.88,0.77,3.65
2020-05-19,358,14.00,356.71,0.00,0.86,0.03,13.14,0.00,0.14,0.01,165.43,0.70,3.68
2020-05-20,358,14.00,357.57,0.00,0.86,0.03,13.29,0.00,0.14,0.01,186.87,0.55,3.72
2020-05-21,358,14.00,357.86,0.00,0.29,0.01,13.43,0.00,0.14,0.01,218.38,0.52,3.75
2020-05-22,358,14.00,358.00,0.00,0.14,0.01,13.57,0.00,0.14,0.01,256.17,0.32,3.79
2020-05-23,358,14.00,358.00,0.00,0.00,0.00,13.71,0.00,0.14,0.01,326.19,0.18,3.83
2020-05-24,358,14.00,358.00,0.00,0.00,0.00,13.86,0.00,0.14,0.01,465.23,,3.87
2020-05-25,358,15.00,358.00,0.00,0.00,0.00,14.00,1.00,0.14,0.01,808.18,,3.91
2020-05-26,358,15.00,358.00,0.00,0.00,0.00,14.14,0.00,0.14,0.01,1348.59,,3.95
2020-05-27,358,16.00,358.00,0.00,0.00,0.00,14.29,1.00,0.14,0.01,4050.64,,3.99
2020-05-28,358,16.00,358.00,0.00,0.00,0.00,14.57,0.00,0.29,0.01,12156.76,,4.07
2020-05-29,358,17.00,358.00,0.00,0.00,0.00,14.86,1.00,0.29,0.01,,,4.15
2020-05-30,358,17.00,358.00,0.00,0.00,0.00,15.29,0.00,0.43,0.02,,,4.27
2020-05-31,358,17.00,358.00,0.00,0.00,0.00,15.71,0.00,0.43,0.02,,,4.39
2020-06-01,358,17.00,358.00,0.00,0.00,0.00,16.14,0.00,0.43,0.02,,,4.51
2020-06-02,358,17.00,358.00,0.00,0.00,0.00,16.43,0.00,0.29,0.01,,,4.59
2020-06-03,358,17.00,358.00,0.00,0.00,0.00,16.71,0.00,0.29,0.01,,,4.67
2020-06-04,358,17.00,358.00,0.00,0.00,0.00,16.86,0.00,0.14,0.01,,,4.71
